company_id,country,sector,revenue,debt_ratio,days_late,num_employees,credit_score,years_in_business,defaulted,expected_loss
C0075,IT,Retail,739.61,0.189,5,127,543,14,0,0.08
C0076,ES,Tech,92.61,0.321,6,145,610,31,0,0.05
C0077,DE,Energy,306.27,0.459,5,344,722,3,0,0.05
C0078,DE,Construction,55.64,0.342,7,452,408,5,0,0.17
C0079,ES,Retail,94.52,0.247,7,186,346,25,0,0.26
C0080,IT,Construction,523.98,0.292,9,79,628,23,0,1.6
C0081,BE,Tech,151.01,0.155,15,32,796,28,0,0.01
C0082,ES,Tech,326.34,0.356,8,8,431,34,0,0.71
C0083,FR,Energy,213.98,0.555,5,190,347,37,1,63.13
C0084,BE,Energy,168.43,0.256,6,267,521,20,0,0.22
C0085,IT,Construction,470.92,0.365,10,247,608,20,0,0.53
C0086,IT,Tech,153.6,0.149,8,123,642,37,0,0.01
C0087,FR,Finance,52.12,0.358,11,339,362,38,0,0.01
C0088,DE,Retail,103.31,0.422,2,440,661,2,0,0.04
C0089,IT,Finance,266.62,0.348,8,120,488,20,0,0.12
C0090,BE,Retail,239.09,0.475,5,338,316,36,0,0.54
C0091,ES,Construction,60.53,0.417,8,274,807,2,0,0.09
C0092,BE,Tech,109.18,0.352,6,345,594,39,0,0.05
C0093,BE,Tech,120.64,0.298,6,12,467,30,0,0.05
C0094,DE,Retail,140.35,0.296,8,338,749,7,0,0.01
C0095,BE,Construction,69.19,0.186,7,374,738,25,0,0.01
C0096,DE,Retail,116.76,0.047,7,341,413,17,0,0.22
C0097,DE,Construction,108.85,0.409,11,421,828,14,0,0.02
C0098,IT,Construction,311.09,0.392,9,374,592,25,0,0.07
C0099,IT,Finance,319.38,0.42,5,492,444,29,0,0.67
C0100,FR,Construction,163.68,0.006,11,336,546,35,0,0.04
C0101,BE,Tech,137.77,0.128,8,225,403,17,0,0.09
C0102,FR,Construction,199.93,0.253,11,417,767,7,0,0.04
C0103,BE,Finance,102.35,0.242,6,348,447,34,0,0.08
C0104,FR,Tech,81.22,0.387,12,281,541,14,0,0.14
C0105,IT,Retail,93.86,0.212,4,291,337,30,0,0.03
C0106,IT,Finance,116.24,0.12,7,178,819,32,0,0.0
C0107,IT,Retail,80.28,0.548,3,308,466,3,0,0.15
C0108,IT,Energy,203.05,0.443,8,236,658,16,0,0.1
C0109,ES,Tech,302.11,0.167,4,69,494,4,0,0.19
C0110,IT,Retail,59.68,0.461,5,222,608,24,0,0.13
C0111,DE,Construction,184.49,0.405,5,475,608,32,0,0.68
C0112,IT,Retail,155.41,0.056,8,169,460,22,0,0.06
C0113,ES,Construction,230.22,0.175,9,340,537,13,0,0.16
C0114,ES,Construction,179.64,0.211,7,210,628,38,0,0.21
C0115,ES,Retail,65.53,0.409,4,146,419,4,1,5.79
C0116,ES,Retail,74.91,0.268,6,195,372,6,0,0.45
C0117,FR,Construction,185.04,0.185,2,479,398,15,0,4.02
C0118,FR,Energy,372.47,0.181,12,60,528,37,0,0.26
C0119,DE,Retail,38.48,0.344,4,335,417,35,0,0.08
C0120,FR,Finance,230.91,0.19,4,416,456,23,0,0.02
C0121,ES,Tech,416.85,0.545,9,96,677,38,0,0.28
C0122,IT,Retail,162.86,0.481,7,379,668,36,0,0.35
C0123,IT,Finance,266.44,0.345,5,320,818,23,0,0.04
C0124,ES,Retail,110.81,0.396,6,172,720,5,0,0.2
C0125,BE,Energy,166.74,0.322,13,92,533,36,0,0.5
C0126,ES,Finance,58.29,0.433,9,472,810,26,0,0.02
C0127,FR,Energy,35.13,0.224,5,102,806,6,0,0.01
C0128,IT,Energy,350.7,0.674,11,474,422,33,0,6.29
C0129,ES,Tech,90.97,0.597,10,325,394,16,0,0.89
C0130,IT,Retail,131.78,0.019,8,429,786,31,0,0.01
C0131,ES,Energy,68.68,0.134,13,151,789,11,0,0.01
C0132,ES,Finance,67.56,0.323,2,19,765,1,0,0.05
C0133,FR,Retail,160.5,0.416,6,329,553,18,0,0.35
C0134,ES,Finance,108.78,0.135,11,188,774,18,0,0.01
C0135,IT,Energy,236.18,0.443,14,277,722,34,0,0.01
C0136,DE,Energy,248.83,0.182,8,231,707,5,0,0.24
C0137,IT,Retail,226.92,0.305,4,164,631,36,0,0.03
C0138,FR,Construction,214.22,0.297,6,360,447,6,0,0.93
C0139,DE,Retail,546.99,0.152,11,252,710,37,0,0.01
C0140,ES,Tech,85.86,0.33,8,319,782,28,0,0.01
C0141,BE,Construction,174.43,0.182,7,337,786,15,0,0.02
C0142,DE,Retail,400.57,0.117,6,340,629,38,0,0.03
C0143,DE,Energy,439.3,0.039,7,168,321,15,0,0.72
C0144,ES,Energy,67.0,0.409,5,384,707,25,0,0.09
C0145,BE,Retail,145.67,0.32,12,113,439,1,0,0.22
C0146,BE,Tech,469.04,0.305,6,474,412,4,0,3.65
C0147,FR,Tech,258.7,0.129,9,405,343,14,0,0.71
C0148,DE,Construction,207.82,0.211,7,277,386,10,0,1.96
C0149,BE,Finance,155.65,0.327,10,94,569,9,0,0.29
C0150,FR,Finance,138.56,0.189,8,452,452,15,0,0.24
C0151,BE,Retail,221.79,0.532,11,279,509,24,1,37.83
C0152,DE,Retail,151.92,0.394,5,408,581,5,0,0.35
C0153,BE,Retail,175.95,0.271,7,18,589,30,0,0.5
C0154,DE,Energy,191.53,0.323,11,172,529,34,0,0.35
C0155,ES,Retail,112.77,0.451,6,153,549,33,1,23.42
C0156,IT,Tech,263.09,0.569,13,407,788,8,0,0.18
C0157,FR,Finance,1394.05,0.536,7,234,455,35,0,2.85
C0158,ES,Finance,52.25,0.114,10,63,307,6,0,0.06
C0159,ES,Finance,227.42,0.157,10,309,740,5,0,0.09
C0160,IT,Tech,106.47,0.11,10,83,344,29,0,0.13
C0161,BE,Construction,271.56,0.396,10,226,725,30,0,0.02
C0162,IT,Construction,187.28,0.488,10,496,478,5,0,0.38
C0163,ES,Retail,308.99,0.187,11,220,762,17,0,0.14
C0164,ES,Energy,412.76,0.214,6,217,392,17,0,2.66
C0165,ES,Energy,207.41,0.182,14,24,390,29,0,1.73
C0166,BE,Tech,400.39,0.118,8,233,523,21,0,0.06
C0167,DE,Construction,35.13,0.667,11,479,530,24,0,0.66
C0168,FR,Construction,551.87,0.253,8,475,694,4,0,0.73
C0169,DE,Energy,235.7,0.386,15,481,656,39,0,0.15
C0170,FR,Construction,385.48,0.636,9,184,846,22,0,0.33
C0171,FR,Construction,77.18,0.589,11,37,672,27,0,0.16
C0172,FR,Energy,101.34,0.093,5,122,411,19,0,0.79
C0173,IT,Tech,200.77,0.249,9,109,348,10,1,50.35
C0174,IT,Construction,179.12,0.337,7,43,446,27,0,1.17
C0175,IT,Construction,221.0,0.543,10,356,840,12,0,0.07
C0176,ES,Finance,387.28,0.294,10,263,722,9,1,65.63
C0177,IT,Retail,52.69,0.114,9,362,707,22,0,0.02
C0178,FR,Energy,358.41,0.239,9,103,449,14,0,0.34
C0179,BE,Finance,182.33,0.02,7,349,557,35,0,0.06
C0180,ES,Energy,157.17,0.348,8,37,687,26,0,0.45
C0181,BE,Finance,64.73,0.399,7,362,820,15,0,0.0
C0182,FR,Retail,257.79,0.265,8,407,620,2,0,0.21
C0183,ES,Retail,33.45,0.477,7,130,311,14,1,4.0
C0184,IT,Construction,285.4,0.131,8,167,770,5,0,0.02
C0185,ES,Tech,63.79,0.37,6,220,813,9,0,0.01
C0186,ES,Energy,188.18,0.193,10,291,318,12,0,0.28
C0187,FR,Energy,166.76,0.186,12,266,515,26,0,0.11
C0188,DE,Energy,411.03,0.175,4,56,838,5,0,0.06
C0189,DE,Finance,159.96,0.368,10,192,824,7,0,0.06
C0190,DE,Retail,111.51,0.304,10,255,830,2,0,0.03
C0191,IT,Construction,127.15,0.283,8,308,836,36,0,0.02
C0192,IT,Finance,441.87,0.404,5,317,312,39,0,1.38
C0193,IT,Construction,263.86,0.24,7,334,383,12,1,53.89
C0194,DE,Tech,138.39,0.246,6,227,574,18,0,0.06
C0195,BE,Retail,153.62,0.551,10,253,631,12,0,0.49
C0196,FR,Construction,60.52,0.123,12,172,520,21,0,0.04
C0197,DE,Energy,237.92,0.152,17,139,447,22,0,0.19
C0198,FR,Retail,52.89,0.536,13,158,439,10,1,4.84
C0199,DE,Tech,306.82,0.437,7,222,631,26,0,0.21
C0200,BE,Finance,198.35,0.21,9,59,837,1,0,0.01
C0201,DE,Tech,963.78,0.178,11,113,754,26,0,0.06
C0202,BE,Retail,83.92,0.185,12,62,396,30,0,0.03
C0203,ES,Construction,168.7,0.456,9,207,381,3,0,4.11
C0204,IT,Retail,638.3,0.234,14,250,444,29,0,1.42
C0205,ES,Finance,417.37,0.142,9,85,703,29,0,0.1
C0206,DE,Finance,111.35,0.431,7,73,304,38,1,14.44
C0207,IT,Finance,212.04,0.117,7,265,687,32,0,0.02
C0208,BE,Finance,181.53,0.224,8,115,619,1,0,0.15
C0209,DE,Tech,220.82,0.487,13,434,662,4,0,0.26
C0210,IT,Tech,111.15,0.332,5,86,773,6,0,0.02
C0211,DE,Tech,170.29,0.68,9,243,625,23,0,1.47
C0212,IT,Energy,59.23,0.252,7,402,642,28,0,0.12
C0213,IT,Finance,199.26,0.239,9,56,564,26,0,0.04
C0214,ES,Construction,248.39,0.206,5,227,658,13,0,0.28
C0215,IT,Construction,154.59,0.395,10,238,509,8,0,0.17
C0216,DE,Finance,58.53,0.284,4,278,336,3,0,0.4
C0217,FR,Construction,362.12,0.368,6,443,313,15,0,0.84
C0218,FR,Tech,233.96,0.141,10,293,693,12,0,0.08
C0219,ES,Energy,109.05,0.415,13,191,650,12,0,0.65
C0220,BE,Energy,148.95,0.362,4,201,524,4,1,52.77
C0221,FR,Retail,63.4,0.3,9,313,710,12,0,0.02
C0222,ES,Construction,88.43,0.185,3,152,560,33,0,0.2
C0223,IT,Construction,124.4,0.525,5,343,440,10,0,4.15
C0224,DE,Construction,428.33,0.408,8,194,621,35,0,0.6
C0225,IT,Energy,115.86,0.323,7,34,507,4,0,0.12
C0226,DE,Construction,283.77,0.09,7,269,836,25,0,0.01
C0227,BE,Finance,124.36,0.309,10,129,696,5,0,0.05
C0228,ES,Energy,215.63,0.315,10,182,711,16,0,0.44
C0229,ES,Energy,164.19,0.182,5,165,678,38,0,0.01
C0230,FR,Retail,334.0,0.198,6,72,676,30,0,0.01
C0231,ES,Construction,124.67,0.444,7,148,725,21,1,29.69
C0232,BE,Finance,60.29,0.267,4,457,537,25,0,0.06
C0233,FR,Construction,68.9,0.135,6,163,751,26,0,0.01
C0234,IT,Finance,124.92,0.253,13,367,318,31,0,0.3
C0235,ES,Finance,75.62,0.102,9,207,666,24,0,0.0
C0236,IT,Construction,241.57,0.234,6,37,596,20,1,43.95
C0237,IT,Energy,130.84,0.752,4,419,304,3,1,11.9
C0238,ES,Retail,955.49,0.288,8,453,663,38,0,0.43
C0239,DE,Retail,53.71,0.357,5,121,301,23,1,11.04
C0240,IT,Tech,209.04,0.281,7,89,687,12,0,0.13
C0241,FR,Energy,82.31,0.116,6,465,588,6,0,0.03
C0242,ES,Construction,128.33,0.276,4,53,634,24,0,0.01
C0243,FR,Energy,200.14,0.253,9,445,635,31,0,0.28
C0244,IT,Retail,35.6,0.521,7,90,465,32,0,0.11
C0245,IT,Tech,213.96,0.197,7,434,642,35,0,0.13
C0246,FR,Finance,686.79,0.467,6,466,421,35,1,150.6
C0247,IT,Finance,131.97,0.165,12,123,717,25,0,0.06
C0248,ES,Tech,217.43,0.346,7,114,349,37,0,2.88
C0249,IT,Finance,371.46,0.108,12,57,377,3,0,0.17
C0250,FR,Construction,161.62,0.368,6,394,686,16,0,0.18
C0251,FR,Finance,120.7,0.165,8,177,331,19,0,0.19
C0252,ES,Finance,36.85,0.064,4,323,833,28,0,0.0
C0253,FR,Construction,283.92,0.149,8,309,317,12,0,0.55
C0254,DE,Tech,167.47,0.343,3,261,588,12,0,0.27
C0255,IT,Construction,89.22,0.285,5,125,841,36,0,0.01
C0256,FR,Tech,198.07,0.071,8,185,670,26,0,0.01
C0257,IT,Tech,120.47,0.338,2,252,647,25,0,0.06
C0258,FR,Construction,125.22,0.263,12,51,680,8,0,0.06
C0259,FR,Energy,277.11,0.155,3,204,688,20,0,0.04
C0260,ES,Energy,71.03,0.194,6,356,388,17,0,0.64
C0261,IT,Tech,377.33,0.295,7,213,469,25,0,2.78
C0262,FR,Energy,68.14,0.257,9,200,405,36,0,0.41
C0263,DE,Retail,113.99,0.178,5,420,416,11,0,0.22
C0264,BE,Construction,696.5,0.201,8,269,414,32,0,1.28
C0265,BE,Energy,399.07,0.132,8,369,650,25,0,0.08
C0266,ES,Finance,194.09,0.183,10,30,813,20,0,0.07
C0267,ES,Energy,93.84,0.081,10,464,607,38,0,0.07
C0268,DE,Energy,125.15,0.074,11,389,308,6,0,0.67
C0269,IT,Retail,190.81,0.159,11,414,680,27,0,0.03
C0270,ES,Retail,186.1,0.361,7,347,597,16,0,0.12
C0271,DE,Tech,170.1,0.254,6,271,727,27,0,0.01
C0272,FR,Tech,177.4,0.357,6,267,507,6,0,0.26
C0273,FR,Tech,156.01,0.27,6,314,535,29,0,0.45
C0274,BE,Tech,66.06,0.328,8,250,662,3,0,0.09
C0275,ES,Construction,126.27,0.159,8,366,689,14,0,0.1
C0276,ES,Retail,343.86,0.154,11,171,421,36,0,0.33
C0277,ES,Tech,69.56,0.244,9,385,622,25,0,0.03
C0278,IT,Retail,158.75,0.352,12,174,828,20,0,0.0
C0279,FR,Tech,102.12,0.139,5,240,335,13,0,0.08
C0280,FR,Construction,195.97,0.196,11,38,482,4,0,0.47
C0281,DE,Retail,138.1,0.178,9,450,593,5,0,0.05
C0282,ES,Tech,509.88,0.676,9,344,809,28,0,0.84
C0283,IT,Retail,258.43,0.294,6,128,832,11,0,0.0
C0284,ES,Finance,72.37,0.277,9,27,624,3,0,0.1
C0285,ES,Construction,289.99,0.177,8,426,600,18,0,0.62
C0286,BE,Tech,105.4,0.01,13,5,527,16,0,0.04
C0287,FR,Retail,121.04,0.423,11,243,544,38,0,0.28
C0288,ES,Retail,225.81,0.099,5,20,703,9,0,0.1
C0289,ES,Energy,128.48,0.211,5,348,599,11,0,0.07
C0290,ES,Construction,338.66,0.095,4,105,604,7,0,0.04
C0291,BE,Energy,105.41,0.442,8,216,764,8,0,0.02
C0292,DE,Finance,117.54,0.38,11,287,376,21,0,0.16
C0293,BE,Tech,114.5,0.072,10,188,826,9,0,0.0
C0294,DE,Tech,122.0,0.134,11,342,687,29,0,0.0
C0295,ES,Energy,391.28,0.266,8,256,622,32,0,0.27
C0296,ES,Tech,281.51,0.023,9,213,618,20,0,0.02
C0297,BE,Finance,600.02,0.032,9,164,617,10,0,0.04
C0298,ES,Retail,886.56,0.184,6,207,611,33,0,0.97
C0299,DE,Energy,88.1,0.415,12,163,492,38,0,0.22
C0300,FR,Energy,190.43,0.169,3,290,705,36,0,0.05
C0301,DE,Retail,79.57,0.429,4,383,438,36,0,0.09
C0302,BE,Energy,105.18,0.283,10,300,659,32,0,0.12
C0303,FR,Energy,116.62,0.194,5,20,589,29,0,0.01
C0304,BE,Tech,86.49,0.403,7,423,501,38,0,0.34
C0305,ES,Retail,86.81,0.13,18,394,742,14,0,0.02
C0306,FR,Retail,163.86,0.361,11,410,475,37,0,0.14
C0307,DE,Retail,77.35,0.481,10,29,662,1,0,0.07
C0308,ES,Energy,326.85,0.181,9,412,437,33,0,0.62
C0309,DE,Retail,95.35,0.056,7,236,410,14,0,0.2
C0310,FR,Finance,1295.56,0.017,7,422,616,12,0,0.64
C0311,IT,Tech,132.16,0.165,5,391,836,27,0,0.01
C0312,IT,Construction,190.64,0.191,7,440,464,7,0,0.35
C0313,FR,Construction,73.2,0.239,8,65,362,39,1,8.54
C0314,DE,Energy,598.4,0.285,7,279,366,29,1,181.89
C0315,DE,Finance,396.89,0.23,8,365,570,1,0,0.61
C0316,IT,Retail,223.15,0.142,7,299,730,33,0,0.01
C0317,IT,Tech,70.61,0.11,6,406,691,5,0,0.02
C0318,IT,Tech,210.08,0.083,8,364,415,33,0,0.13
C0319,BE,Retail,82.68,0.302,7,22,759,32,0,0.02
C0320,IT,Tech,504.54,0.393,8,103,390,26,0,0.95
C0321,DE,Tech,319.4,0.111,11,319,607,24,0,0.08
C0322,FR,Construction,193.8,0.363,7,183,766,33,0,0.22
C0323,IT,Tech,32.94,0.188,9,181,744,34,0,0.0
C0324,BE,Finance,91.07,0.315,8,456,686,28,0,0.11
C0325,BE,Construction,293.37,0.457,8,49,482,7,1,84.12
C0326,DE,Finance,423.7,0.252,8,263,721,26,0,0.12
C0327,DE,Retail,394.03,0.098,8,159,512,8,0,0.28
C0328,FR,Finance,59.48,0.083,9,30,492,2,0,0.18
C0329,FR,Construction,223.87,0.255,14,190,592,6,0,0.34
C0330,ES,Finance,369.02,0.127,6,205,639,18,0,0.06
C0331,ES,Tech,56.78,0.433,9,230,415,38,1,25.89
C0332,DE,Finance,180.27,0.171,5,84,812,2,0,0.07
C0333,DE,Energy,219.57,0.276,12,365,776,3,0,0.04
C0334,BE,Retail,146.86,0.3,7,181,455,4,0,0.28
C0335,ES,Energy,49.58,0.565,4,288,432,8,0,0.06
C0336,BE,Retail,144.32,0.161,5,274,337,22,0,0.22
C0337,BE,Finance,144.15,0.272,12,284,523,33,0,0.07
C0338,DE,Tech,163.42,0.309,12,255,393,2,1,56.39
C0339,DE,Tech,122.19,0.21,7,154,811,32,0,0.0
C0340,BE,Energy,132.94,0.179,12,247,793,36,0,0.01
C0341,IT,Energy,176.3,0.116,7,267,755,4,0,0.02
C0342,DE,Retail,247.08,0.362,3,14,454,18,0,2.98
C0343,IT,Finance,146.48,0.377,7,363,679,32,0,0.03
C0344,ES,Finance,136.08,0.336,5,225,570,28,0,0.29
C0345,BE,Construction,193.38,0.531,8,149,450,8,0,0.87
C0346,DE,Construction,47.25,0.305,12,19,594,6,0,0.11
C0347,BE,Energy,253.14,0.119,6,155,390,18,0,0.21
C0348,BE,Energy,181.2,0.226,11,205,828,34,0,0.03
C0349,FR,Energy,186.38,0.089,10,419,390,37,0,0.01
C0350,FR,Retail,355.14,0.174,6,325,465,19,0,0.7
C0351,ES,Retail,46.2,0.476,6,212,421,21,1,3.87
C0352,FR,Tech,45.53,0.346,9,67,586,22,0,0.04
C0353,DE,Energy,219.57,0.12,12,141,669,20,0,0.01
C0354,ES,Retail,180.37,0.594,10,458,826,26,0,0.08
C0355,BE,Retail,204.2,0.099,3,68,513,11,0,0.17
C0356,BE,Finance,131.17,0.269,9,317,410,22,0,0.2
C0357,FR,Tech,288.6,0.404,8,260,311,24,0,3.06
C0358,BE,Energy,348.22,0.414,8,112,628,22,0,0.32
C0359,FR,Energy,254.37,0.106,13,437,838,39,0,0.0
C0360,IT,Construction,151.02,0.128,5,200,334,30,0,1.6
C0361,BE,Construction,41.46,0.171,8,332,847,29,1,18.37
C0362,BE,Tech,310.59,0.19,6,52,444,32,0,0.75
C0363,DE,Finance,426.33,0.398,10,483,799,21,0,0.04
C0364,BE,Tech,284.63,0.157,11,15,338,12,0,0.2
C0365,FR,Finance,97.93,0.223,6,158,790,21,0,0.01
C0366,ES,Energy,290.52,0.13,6,458,481,36,0,0.91
C0367,ES,Retail,331.08,0.308,10,320,451,35,0,0.3
C0368,DE,Construction,539.79,0.213,2,339,413,14,1,33.7
C0369,FR,Retail,98.17,0.221,10,160,373,19,0,0.53
C0370,IT,Construction,154.7,0.507,8,390,739,11,0,0.55
C0371,DE,Retail,305.85,0.049,7,466,338,1,0,0.2
C0372,IT,Tech,188.71,0.117,8,312,554,13,0,0.27
C0373,ES,Construction,82.92,0.287,8,113,821,4,0,0.06
C0374,DE,Finance,242.31,0.155,10,453,522,14,0,0.25
C0375,BE,Energy,271.8,0.207,8,7,754,3,0,0.13
C0376,FR,Retail,192.78,0.316,8,448,680,13,0,0.09
C0377,IT,Tech,211.39,0.38,12,9,737,28,0,0.09
C0378,IT,Finance,151.25,0.202,7,33,820,33,0,0.0
C0379,DE,Construction,510.2,0.345,16,25,353,35,0,4.21
C0380,DE,Retail,96.5,0.163,9,98,465,22,0,0.03
C0381,FR,Tech,120.17,0.237,13,365,476,22,0,0.07
C0382,BE,Tech,182.67,0.261,8,200,336,38,0,0.92
C0383,BE,Retail,335.38,0.302,9,44,358,22,0,3.98
C0384,DE,Finance,63.55,0.235,5,173,360,4,0,0.08
C0385,FR,Construction,72.44,0.038,10,498,822,37,0,0.01
C0386,FR,Retail,43.54,0.346,8,265,771,24,0,0.01
C0387,FR,Construction,185.47,0.626,6,365,623,26,1,34.11
C0388,BE,Energy,82.86,0.374,4,136,765,4,0,0.01
C0389,BE,Retail,138.49,0.11,9,262,489,19,0,0.11
C0390,FR,Energy,288.0,0.446,13,399,561,18,0,3.11
C0391,IT,Retail,115.69,0.35,7,338,785,32,0,0.01
C0392,FR,Tech,213.13,0.41,5,8,381,15,0,0.15
C0393,DE,Finance,147.0,0.185,8,305,380,14,0,0.29
C0394,ES,Construction,290.17,0.494,11,396,589,27,0,0.95
C0395,IT,Retail,252.8,0.29,7,71,438,1,0,0.22
C0396,BE,Finance,111.68,0.341,9,199,667,30,0,0.02
C0397,FR,Energy,161.09,0.13,7,324,649,1,0,0.04
C0398,FR,Finance,376.39,0.208,5,7,482,10,0,0.54
C0399,DE,Construction,238.74,0.498,4,356,363,20,1,50.68
C0400,DE,Tech,68.18,0.486,11,424,345,8,0,0.42
C0401,BE,Energy,286.84,0.32,2,265,543,2,0,2.14
C0402,IT,Energy,84.84,0.266,7,226,477,17,1,12.17
C0403,DE,Construction,487.24,0.002,9,50,318,28,0,0.84
C0404,BE,Tech,371.25,0.145,8,363,679,10,0,0.02
C0405,ES,Tech,222.05,0.223,9,471,826,11,0,0.09
C0406,ES,Tech,202.36,0.169,8,439,838,27,0,0.01
C0407,ES,Tech,156.6,0.2,6,277,364,37,0,0.18
C0408,FR,Retail,291.48,0.183,8,21,404,21,0,0.03
C0409,BE,Retail,139.83,0.064,10,146,537,22,0,0.02
C0410,FR,Finance,213.77,0.529,5,134,803,33,0,0.1
C0411,FR,Retail,333.74,0.243,7,8,616,3,0,0.16
C0412,DE,Finance,122.33,0.175,11,63,551,39,0,0.15
C0413,DE,Retail,117.76,0.224,12,289,809,19,0,0.02
C0414,FR,Construction,78.57,0.193,4,53,664,15,0,0.05
C0415,FR,Tech,86.04,0.101,10,24,841,25,0,0.0
C0416,IT,Energy,50.41,0.093,4,473,775,36,0,0.01
C0417,BE,Tech,302.14,0.101,12,304,849,37,0,0.01
C0418,FR,Energy,643.06,0.193,9,403,606,31,0,0.27
C0419,DE,Energy,491.63,0.252,9,128,505,19,0,1.08
C0420,ES,Energy,58.08,0.244,8,185,333,6,1,7.41
C0421,BE,Tech,301.09,0.182,6,307,701,8,0,0.07
